Date : 2023-10-21 15:40:19
Directory : c:\Website\Real site\Trading Web
Total : 165 files,  7194 codes, 572 comments, 856 blanks, all 8622 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| HTML       |         53 |      2,625 |        144 |        186 |      2,955 |
| Python     |         99 |      1,870 |        385 |        621 |      2,876 |
| JSON       |          2 |      1,642 |          0 |          2 |      1,644 |
| Database   |          1 |        981 |          0 |         32 |      1,013 |
| JavaScript |          2 |         29 |         43 |          8 |         80 |
| XML        |          6 |         26 |          0 |          0 |         26 |
| CSS        |          2 |         21 |          0 |          7 |         28 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                   | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                      |        165 |      7,194 |        572 |        856 |      8,622 |
| . (Files)                                                                                                              |          2 |        996 |          3 |         37 |      1,036 |
| abstractapp                                                                                                            |          4 |         77 |         37 |         38 |        152 |
| blog                                                                                                                   |         22 |        516 |         36 |        102 |        654 |
| blog (Files)                                                                                                           |          7 |        160 |         30 |         62 |        252 |
| blog\migrations                                                                                                        |          7 |        181 |          6 |         32 |        219 |
| blog\templates                                                                                                         |          8 |        175 |          0 |          8 |        183 |
| blog\templates\blog                                                                                                    |          8 |        175 |          0 |          8 |        183 |
| blog\templates\blog (Files)                                                                                            |          2 |         21 |          0 |          3 |         24 |
| blog\templates\blog\obsolete                                                                                           |          2 |         40 |          0 |          2 |         42 |
| blog\templates\blog\partial                                                                                            |          4 |        114 |          0 |          3 |        117 |
| form_handlers                                                                                                          |         19 |        477 |         32 |         87 |        596 |
| form_handlers (Files)                                                                                                  |          9 |        109 |         23 |         44 |        176 |
| form_handlers\migrations                                                                                               |          7 |        143 |          6 |         32 |        181 |
| form_handlers\templates                                                                                                |          3 |        225 |          3 |         11 |        239 |
| form_handlers\templates\form_handlers                                                                                  |          3 |        225 |          3 |         11 |        239 |
| form_handlers\templates\form_handlers (Files)                                                                          |          2 |        122 |          3 |          3 |        128 |
| form_handlers\templates\form_handlers\deprecated                                                                       |          1 |        103 |          0 |          8 |        111 |
| mysite                                                                                                                 |          5 |        139 |         89 |         72 |        300 |
| news                                                                                                                   |          7 |          8 |          4 |         13 |         25 |
| news (Files)                                                                                                           |          6 |          8 |          4 |         12 |         24 |
| news\migrations                                                                                                        |          1 |          0 |          0 |          1 |          1 |
| pages                                                                                                                  |         29 |      1,037 |         37 |        147 |      1,221 |
| pages (Files)                                                                                                          |          7 |         91 |          8 |         35 |        134 |
| pages\migrations                                                                                                       |         14 |        272 |         13 |         68 |        353 |
| pages\templates                                                                                                        |          8 |        674 |         16 |         44 |        734 |
| pages\templates\pages                                                                                                  |          8 |        674 |         16 |         44 |        734 |
| pages\templates\pages (Files)                                                                                          |          3 |        275 |          0 |          4 |        279 |
| pages\templates\pages\more                                                                                             |          1 |         69 |          4 |          4 |         77 |
| pages\templates\pages\partial                                                                                          |          4 |        330 |         12 |         36 |        378 |
| products                                                                                                               |         27 |        986 |        231 |        205 |      1,422 |
| products (Files)                                                                                                       |          7 |        268 |        115 |        123 |        506 |
| products\migrations                                                                                                    |          6 |        253 |          5 |         27 |        285 |
| products\templates                                                                                                     |         14 |        465 |        111 |         55 |        631 |
| products\templates\deprecated                                                                                          |          3 |         49 |          9 |          7 |         65 |
| products\templates\products                                                                                            |         11 |        416 |        102 |         48 |        566 |
| products\templates\products (Files)                                                                                    |          2 |         29 |          0 |          2 |         31 |
| products\templates\products\partial                                                                                    |          9 |        387 |        102 |         46 |        535 |
| products\templates\products\partial (Files)                                                                            |          5 |        174 |          4 |          6 |        184 |
| products\templates\products\partial\deprecated                                                                         |          4 |        213 |         98 |         40 |        351 |
| search                                                                                                                 |         14 |        334 |         41 |         69 |        444 |
| search (Files)                                                                                                         |          7 |        120 |         41 |         46 |        207 |
| search\migrations                                                                                                      |          1 |          0 |          0 |          1 |          1 |
| search\templates                                                                                                       |          6 |        214 |          0 |         22 |        236 |
| search\templates\search                                                                                                |          6 |        214 |          0 |         22 |        236 |
| search\templates\search\partial                                                                                        |          5 |        205 |          0 |         22 |        227 |
| search\templates\search\partial (Files)                                                                                |          3 |        149 |          0 |          9 |        158 |
| search\templates\search\partial\deprecated                                                                             |          2 |         56 |          0 |         13 |         69 |
| search\templates\search\svg                                                                                            |          1 |          9 |          0 |          0 |          9 |
| templates                                                                                                              |         19 |        880 |         14 |         44 |        938 |
| templates (Files)                                                                                                      |          1 |         69 |          4 |          1 |         74 |
| templates\partial                                                                                                      |          8 |        688 |         10 |         41 |        739 |
| templates\partial (Files)                                                                                              |          6 |        606 |          6 |         33 |        645 |
| templates\partial\obsolete                                                                                             |          2 |         82 |          4 |          8 |         94 |
| templates\snippet                                                                                                      |          5 |        106 |          0 |          2 |        108 |
| templates\snippet (Files)                                                                                              |          4 |         82 |          0 |          2 |         84 |
| templates\snippet\deprecated                                                                                           |          1 |         24 |          0 |          0 |         24 |
| templates\svg                                                                                                          |          5 |         17 |          0 |          0 |         17 |
| templates\svg\contact                                                                                                  |          5 |         17 |          0 |          0 |         17 |
| theme                                                                                                                  |          9 |      1,713 |         43 |         23 |      1,779 |
| theme (Files)                                                                                                          |          2 |          3 |          0 |          4 |          7 |
| theme\static                                                                                                           |          1 |          2 |          0 |          1 |          3 |
| theme\static\css                                                                                                       |          1 |          2 |          0 |          1 |          3 |
| theme\static\css\dist                                                                                                  |          1 |          2 |          0 |          1 |          3 |
| theme\static_src                                                                                                       |          5 |      1,690 |         43 |         16 |      1,749 |
| theme\static_src (Files)                                                                                               |          4 |      1,671 |         43 |         10 |      1,724 |
